計算時刻,★★判断★★,通貨ペア,現在価格,適正価格(今日),適正価格(明日),適正価格(明後日),適正価格乖離率,ロングエントリ推奨価格,ショートエントリ推奨価格,EMA(200),EMA(100),EMA(50),EMA(200)BTC建て,価格変動率,BTC連動率上昇,BTC連動率下落,RSI(14),RSI(14)BTC建て,ロング評価,ショート評価,小数点位置,STAR
2021-06-18 21:06:59,L,REEFUSDT,0.020401,0.022311,0.02063,0.020627,-8.6,0.020455,0.024167,-41.2,-36.2,-27.6,-22.0,-1.57,146.77,163.06,37.9,48.0,1,0,6,1
2021-06-18 21:07:01,L,RENUSDT,0.41528,0.46853,0.41537,0.43717,-11.4,0.42481,0.51225,-40.6,-41.4,-31.8,-34.1,-5.82,259.57,301.2,36.9,39.7,1,0,5,1
2021-06-18 21:07:04,L,RLCUSDT,3.432,3.9524,3.6634,3.6011,-13.2,3.5078,4.3971,10.4,-13.9,-23.5,16.6,-5.65,243.79,338.78,38.5,38.7,1,0,4,1
2021-06-18 21:07:07,,RSRUSDT,0.029713,0.031408,0.030004,0.029816,-5.4,0.028392,0.034423,-41.8,-45.6,-36.7,-37.6,-0.74,270.76,256.34,43.8,47.7,0,0,6,0
2021-06-18 21:07:09,,RUNEUSDT,8.513,9.54,9.179,8.558,-10.8,7.847,11.233,3.4,-19.8,-24.4,22.7,-2.55,220.33,303.61,42.8,44.0,0,0,3,0
2021-06-18 21:07:12,,RVNUSDT,0.06914,0.07528,0.0699,0.07128,-8.2,0.06887,0.08169,-54.2,-46.7,-32.9,-19.2,-3.04,157.9,211.36,37.1,39.6,0,0,5,0
2021-06-18 21:07:15,,SANDUSDT,0.25981,0.28562,0.26567,0.27136,-9.0,0.24501,0.32623,-25.1,-34.0,-28.8,-6.3,-4.43,124.54,195.31,38.7,42.3,0,0,5,0
2021-06-18 21:07:17,,SCUSDT,0.015216,0.015967,0.014932,0.015041,-4.7,0.01504,0.016894,-41.9,-38.7,-29.7,-0.1,1.56,231.82,165.05,46.7,53.8,0,0,6,0
2021-06-18 21:07:20,,SFPUSDT,1.0319,1.0786,1.0888,1.0747,-4.3,0.9997,1.1576,-47.4,-42.2,-29.3,-25.3,-4.24,173.21,234.76,44.6,47.7,0,0,4,0
2021-06-18 21:07:23,,SKLUSDT,0.29274,0.30039,0.29065,0.30063,-2.5,0.26745,0.33334,-24.6,-33.6,-29.2,-7.1,-1.44,290.92,351.03,46.1,48.1,0,0,5,0
2021-06-18 21:07:25,,SNXUSDT,8.563,9.613,8.861,8.999,-10.9,8.366,10.86,-40.2,-42.5,-35.5,-34.3,-5.0,181.23,254.82,37.1,37.2,0,0,3,0
2021-06-18 21:07:28,,SOLUSDT,37.909,39.498,39.643,39.154,-4.0,34.761,44.235,61.4,19.1,2.9,87.0,-3.51,142.11,206.49,42.8,46.4,0,0,3,0
2021-06-18 21:07:31,L,SRMUSDT,3.927,4.304,4.06,4.047,-8.8,3.953,4.656,-20.0,-30.9,-28.8,-10.6,-3.39,173.82,209.31,40.1,42.8,2,0,3,2
2021-06-18 21:07:33,L,STMXUSDT,0.0197,0.0224,0.02035,0.02064,-12.1,0.02048,0.02432,-56.8,-50.2,-37.2,-9.9,-4.78,156.77,223.76,34.2,34.0,1,0,5,1
2021-06-18 21:07:36,L,STORJUSDT,0.8515,0.9674,0.884,0.8881,-12.0,0.9035,1.0313,-27.0,-36.4,-32.5,-16.0,-4.5,136.89,216.82,31.8,31.2,1,0,4,1
2021-06-18 21:07:38,,SUSHIUSDT,8.174,9.062,8.311,8.451,-9.8,8.09,10.034,-27.7,-34.8,-30.6,-23.9,-3.42,173.29,221.65,39.1,39.0,0,0,3,0
2021-06-18 21:07:41,,SXPUSDT,2.1119,2.2126,2.2816,2.199,-4.6,1.9206,2.5046,-19.8,-26.3,-20.3,-14.4,-5.2,181.37,250.81,46.7,51.2,0,0,4,0
2021-06-18 21:07:44,,THETAUSDT,9.455,8.869,8.996,9.682,6.6,7.787,9.951,39.9,11.8,6.9,69.0,-0.68,264.42,244.17,55.9,61.1,0,0,3,0
2021-06-18 21:07:46,,TOMOUSDT,1.8049,1.8769,1.8384,1.8992,-3.8,1.6456,2.1081,0.5,-7.6,-1.9,7.2,-6.37,183.95,251.64,52.0,55.3,0,0,4,0
2021-06-18 21:07:49,,TRBUSDT,45.0,49.59,45.31,47.31,-9.3,43.92,55.27,-21.2,-30.4,-29.8,-23.9,-5.66,177.82,254.11,38.5,38.6,0,0,2,0
2021-06-18 21:07:52,,TRXUSDT,0.07328,0.07159,0.06976,0.07543,2.4,0.06641,0.07678,0.6,-14.9,-15.1,8.6,-0.88,240.76,161.16,58.3,65.9,0,0,5,0
2021-06-18 21:07:54,,UNFIUSDT,8.603,10.199,8.838,9.437,-15.6,8.393,12.005,-61.1,-53.1,-37.7,-37.4,-9.54,152.16,295.13,39.5,41.7,0,0,3,0
2021-06-18 21:07:57,,UNIUSDT,21.299,23.198,21.349,22.079,-8.2,21.035,25.362,-9.3,-22.9,-22.3,7.0,-4.01,161.9,202.7,36.8,36.7,0,0,3,0
2021-06-18 21:08:00,,VETUSDT,0.10358,0.11072,0.10641,0.10719,-6.4,0.10335,0.11809,5.8,-16.7,-20.4,24.4,-3.41,121.81,174.96,36.9,37.5,0,0,5,0
2021-06-18 21:08:03,,WAVESUSDT,16.986,16.857,17.009,17.91,0.8,15.437,18.276,24.0,1.2,-4.1,37.6,-7.39,148.67,251.4,51.7,55.7,0,0,3,0
